fill,run,LS,avgpu
7328,325022,45,52.8
7328,325022,46,52.7
7328,325022,47,52.6
7328,325022,48,52.5
7328,325022,49,15.1
7328,325022,50,29.5
7328,325022,51,44.7
7328,325022,52,47.5
7328,325022,53,33.3
7328,325022,54,7.9
7328,325022,55,52.2
7328,325022,56,3.9
7328,325022,57,21.8
7328,325022,58,39.9
7328,325022,59,46.3
7328,325022,60,28.5
7328,325022,61,4.9
7328,325022,62,51.9
7328,325022,63,51.9
7328,325022,64,51.9
7328,325022,65,51.8
7328,325022,66,51.8
7328,325022,67,51.6
7328,325022,68,51.5
7328,325022,69,51.4
7328,325022,70,51.2
7328,325022,71,51.1
7328,325022,72,51.0
7328,325022,73,50.9
7328,325022,74,50.9
7328,325022,75,50.8
7328,325022,76,50.8
7328,325022,77,50.7
7328,325022,78,50.6
7328,325022,79,50.5
7328,325022,80,50.4
7328,325022,81,50.4
7328,325022,82,50.3
7328,325022,83,50.3
7328,325022,84,50.1
7328,325022,85,50.3
7328,325022,86,50.1
7328,325022,87,49.9
7328,325022,88,49.8
7328,325022,89,49.6
7328,325022,90,49.5
7328,325022,91,49.4
7328,325022,92,49.5
7328,325022,93,49.5
7328,325022,94,49.9
7328,325022,95,49.8
7328,325022,96,49.6
7328,325022,97,49.3
7328,325022,98,49.0
7328,325022,99,49.0
7328,325022,100,49.1
7328,325022,101,49.1
7328,325022,102,49.0
7328,325022,103,49.0
7328,325022,104,48.9
7328,325022,105,48.8
7328,325022,106,48.8
7328,325022,107,48.9
7328,325022,108,48.8
7328,325022,109,48.8
7328,325022,110,48.7
7328,325022,111,45.9
7328,325022,112,47.1
7328,325022,113,37.6
7328,325022,114,49.3
7328,325022,115,39.7
7328,325022,116,48.1
7328,325022,117,49.3
7328,325022,118,50.0
7328,325022,119,50.0
7328,325022,120,50.0
7328,325022,121,49.9
7328,325022,122,49.9
7328,325022,123,49.8
7328,325022,124,49.7
7328,325022,125,50.3
7328,325022,126,50.2
7328,325022,127,50.1
7328,325022,128,50.1
7328,325022,129,50.0
7328,325022,130,50.0
7328,325022,131,49.7
7328,325022,132,50.0
7328,325022,133,49.9
7328,325022,134,49.9
7328,325022,135,49.8
7328,325022,136,49.7
7328,325022,137,49.7
7328,325022,138,49.6
7328,325022,139,49.6
7328,325022,140,49.5
7328,325022,141,49.4
7328,325022,142,49.4
7328,325022,143,49.3
7328,325022,144,49.4
7328,325022,145,49.5
7328,325022,146,49.4
7328,325022,147,49.4
7328,325022,148,49.3
7328,325022,149,49.3
7328,325022,150,49.3
7328,325022,151,49.2
7328,325022,152,49.2
7328,325022,153,49.2
7328,325022,154,49.1
7328,325022,155,49.1
7328,325022,156,49.0
7328,325022,157,48.9
7328,325022,158,48.9
7328,325022,159,48.8
