fill,run,LS,avgpu
7259,324077,54,53.8
7259,324077,55,53.7
7259,324077,56,6.4
7259,324077,57,30.6
7259,324077,58,46.1
7259,324077,59,47.9
7259,324077,60,32.5
7259,324077,61,16.6
7259,324077,62,53.4
7259,324077,63,3.4
7259,324077,64,22.4
7259,324077,65,40.8
7259,324077,66,48.6
7259,324077,67,30.8
7259,324077,68,8.9
7259,324077,69,53.1
7259,324077,70,53.0
7259,324077,71,52.9
7259,324077,72,52.8
7259,324077,73,52.7
7259,324077,74,52.6
7259,324077,75,52.5
7259,324077,76,52.4
7259,324077,77,52.3
7259,324077,78,52.3
7259,324077,79,52.2
7259,324077,80,52.2
7259,324077,81,52.1
7259,324077,82,52.2
7259,324077,83,52.1
7259,324077,84,52.1
7259,324077,85,52.1
7259,324077,86,52.0
7259,324077,87,51.9
7259,324077,88,51.9
7259,324077,89,51.8
7259,324077,90,51.7
7259,324077,91,51.6
7259,324077,92,51.5
7259,324077,93,51.4
7259,324077,94,51.3
7259,324077,95,51.2
7259,324077,96,51.1
7259,324077,97,51.0
7259,324077,98,51.0
7259,324077,99,51.0
7259,324077,100,51.0
7259,324077,101,50.9
7259,324077,102,50.9
7259,324077,103,51.0
7259,324077,104,50.9
7259,324077,105,50.8
7259,324077,106,50.8
7259,324077,107,50.7
7259,324077,108,50.5
7259,324077,109,50.4
7259,324077,110,50.2
7259,324077,111,50.1
7259,324077,112,50.1
7259,324077,113,50.1
7259,324077,114,50.0
7259,324077,115,49.9
7259,324077,116,49.9
7259,324077,117,49.8
7259,324077,118,49.8
7259,324077,119,49.7
7259,324077,120,49.7
7259,324077,121,49.7
7259,324077,122,49.7
7259,324077,123,49.7
7259,324077,124,49.5
7259,324077,125,49.4
7259,324077,126,49.2
7259,324077,127,49.1
7259,324077,128,49.0
7259,324077,129,49.1
7259,324077,130,49.1
7259,324077,131,49.1
7259,324077,132,49.1
7259,324077,133,49.1
7259,324077,134,49.1
7259,324077,135,47.2
7259,324077,136,48.0
7259,324077,137,38.1
7259,324077,138,50.6
7259,324077,139,41.8
7259,324077,140,51.4
7259,324077,141,51.3
7259,324077,142,51.3
7259,324077,143,51.2
7259,324077,144,51.2
7259,324077,145,51.1
7259,324077,146,51.1
7259,324077,147,51.0
7259,324077,148,51.0
7259,324077,149,51.0
7259,324077,150,50.9
7259,324077,151,50.9
7259,324077,152,50.9
7259,324077,153,50.8
7259,324077,154,50.8
7259,324077,155,50.8
7259,324077,156,50.7
7259,324077,157,50.7
7259,324077,158,50.6
7259,324077,159,50.6
7259,324077,160,50.5
7259,324077,161,50.4
7259,324077,162,50.4
7259,324077,163,50.4
7259,324077,164,50.3
7259,324077,165,50.3
7259,324077,166,50.3
7259,324077,167,50.3
7259,324077,168,50.2
7259,324077,169,50.2
7259,324077,170,50.1
7259,324077,171,50.3
7259,324077,172,50.2
7259,324077,173,50.2
7259,324077,174,50.2
7259,324077,175,50.1
7259,324077,176,50.1
7259,324077,177,50.0
7259,324077,178,49.9
7259,324077,179,49.9
7259,324077,180,49.8
7259,324077,181,49.8
7259,324077,182,49.8
7259,324077,183,49.6
7259,324077,184,49.8
7259,324077,185,49.8
7259,324077,186,49.6
7259,324077,187,49.7
7259,324077,188,49.6
7259,324077,189,49.6
7259,324077,190,49.5
7259,324077,191,49.5
7259,324077,192,49.5
7259,324077,193,49.4
7259,324077,194,49.4
7259,324077,195,49.3
7259,324077,196,49.2
7259,324077,197,49.0
7259,324077,198,49.1
7259,324077,199,49.1
7259,324077,200,49.1
7259,324077,201,49.1
7259,324077,202,49.0
7259,324077,203,49.0
7259,324077,204,49.0
7259,324077,205,49.0
7259,324077,206,49.0
7259,324077,207,48.9
7259,324077,208,49.1
7259,324077,209,49.0
7259,324077,210,48.9
7259,324077,211,48.8
7259,324077,212,48.8
7259,324077,213,48.7
7259,324077,214,48.7
7259,324077,215,48.6
7259,324077,216,48.6
7259,324077,217,48.6
7259,324077,218,48.6
7259,324077,219,48.5
7259,324077,220,48.5
7259,324077,221,48.5
7259,324077,222,48.5
7259,324077,223,48.4
7259,324077,224,48.4
7259,324077,225,48.4
7259,324077,226,48.3
7259,324077,227,48.2
7259,324077,228,48.2
7259,324077,229,48.2
7259,324077,230,48.1
7259,324077,231,48.2
7259,324077,232,48.1
7259,324077,233,48.1
7259,324077,234,48.1
7259,324077,235,48.1
7259,324077,236,48.1
7259,324077,237,48.1
7259,324077,238,48.0
7259,324077,239,48.0
7259,324077,240,48.0
7259,324077,241,47.9
7259,324077,242,47.9
7259,324077,243,47.8
7259,324077,244,47.7
7259,324077,245,47.7
7259,324077,246,47.7
7259,324077,247,47.7
7259,324077,248,47.8
7259,324077,249,47.8
7259,324077,250,47.8
7259,324077,251,47.8
7259,324077,252,47.7
7259,324077,253,47.6
7259,324077,254,47.6
7259,324077,255,47.6
7259,324077,256,47.6
7259,324077,257,47.5
7259,324077,258,47.5
7259,324077,259,47.4
7259,324077,260,47.3
7259,324077,261,47.3
7259,324077,262,47.2
7259,324077,263,47.2
7259,324077,264,47.2
7259,324077,265,47.1
7259,324077,266,47.1
7259,324077,267,47.1
7259,324077,268,47.1
7259,324077,269,47.1
7259,324077,270,47.0
7259,324077,271,46.9
7259,324077,272,46.9
7259,324077,273,46.9
7259,324077,274,46.8
7259,324077,275,46.8
7259,324077,276,46.7
7259,324077,277,46.7
7259,324077,278,46.6
7259,324077,279,46.6
7259,324077,280,46.5
7259,324077,281,46.5
7259,324077,282,46.5
7259,324077,283,46.5
7259,324077,284,46.5
7259,324077,285,46.4
7259,324077,286,46.6
7259,324077,287,46.5
7259,324077,288,46.5
7259,324077,289,46.5
7259,324077,290,46.4
7259,324077,291,46.4
7259,324077,292,46.3
7259,324077,293,46.3
7259,324077,294,46.2
7259,324077,295,46.2
7259,324077,296,46.2
7259,324077,297,46.1
7259,324077,298,46.1
7259,324077,299,46.1
7259,324077,300,46.1
7259,324077,301,46.1
7259,324077,302,46.1
7259,324077,303,46.1
7259,324077,304,46.1
7259,324077,305,46.0
7259,324077,306,46.0
7259,324077,307,46.0
7259,324077,308,45.9
7259,324077,309,45.9
7259,324077,310,45.7
7259,324077,311,45.7
7259,324077,312,45.7
7259,324077,313,45.6
7259,324077,314,45.6
7259,324077,315,45.6
7259,324077,316,45.5
7259,324077,317,45.5
7259,324077,318,45.5
7259,324077,319,45.5
7259,324077,320,45.5
7259,324077,321,45.5
7259,324077,322,45.4
7259,324077,323,45.4
7259,324077,324,45.4
7259,324077,325,42.8
7259,324077,326,45.3
7259,324077,327,45.2
7259,324077,328,45.2
7259,324077,329,44.6
7259,324077,330,45.7
7259,324077,331,45.7
7259,324077,332,45.7
7259,324077,333,45.7
7259,324077,334,45.6
7259,324077,335,45.5
7259,324077,336,45.6
7259,324077,337,45.6
7259,324077,338,45.7
7259,324077,339,45.7
7259,324077,340,45.6
7259,324077,341,45.6
7259,324077,342,45.5
7259,324077,343,45.5
7259,324077,344,45.5
7259,324077,345,45.4
7259,324077,346,45.4
7259,324077,347,45.4
7259,324077,348,45.3
7259,324077,349,45.3
7259,324077,350,45.3
7259,324077,351,45.2
7259,324077,352,45.3
7259,324077,353,45.3
7259,324077,354,45.1
7259,324077,355,45.1
7259,324077,356,45.1
7259,324077,357,45.1
7259,324077,358,45.1
7259,324077,359,45.0
7259,324077,360,45.0
7259,324077,361,44.9
7259,324077,362,44.9
7259,324077,363,44.9
7259,324077,364,44.8
7259,324077,365,44.8
7259,324077,366,44.8
7259,324077,367,44.8
7259,324077,368,44.7
7259,324077,369,44.7
7259,324077,370,44.7
7259,324077,371,44.7
7259,324077,372,44.8
7259,324077,373,44.8
7259,324077,374,44.7
7259,324077,375,44.7
7259,324077,376,44.7
7259,324077,377,44.6
7259,324077,378,44.6
7259,324077,379,44.6
7259,324077,380,44.5
7259,324077,381,44.5
7259,324077,382,44.5
7259,324077,383,44.4
7259,324077,384,44.4
7259,324077,385,44.4
7259,324077,386,44.4
7259,324077,387,44.3
7259,324077,388,44.3
7259,324077,389,44.3
7259,324077,390,44.3
7259,324077,391,44.3
7259,324077,392,44.2
7259,324077,393,44.2
7259,324077,394,44.3
7259,324077,395,44.1
7259,324077,396,44.1
7259,324077,397,44.1
7259,324077,398,44.1
7259,324077,399,44.0
7259,324077,400,44.0
7259,324077,401,44.0
7259,324077,402,44.0
7259,324077,403,44.0
7259,324077,404,43.9
7259,324077,405,43.8
7259,324077,406,43.8
7259,324077,407,43.8
7259,324077,408,43.8
7259,324077,409,43.7
7259,324077,410,43.7
7259,324077,411,43.7
7259,324077,412,43.7
7259,324077,413,43.7
7259,324077,414,43.6
7259,324077,415,43.6
7259,324077,416,43.7
7259,324077,417,43.7
7259,324077,418,43.7
7259,324077,419,43.6
7259,324077,420,43.6
7259,324077,421,43.5
7259,324077,422,43.5
7259,324077,423,43.5
7259,324077,424,43.5
7259,324077,425,43.4
7259,324077,426,43.4
7259,324077,427,43.4
7259,324077,428,43.4
7259,324077,429,43.4
7259,324077,430,43.3
7259,324077,431,43.3
7259,324077,432,43.3
7259,324077,433,43.3
7259,324077,434,43.2
7259,324077,435,43.2
7259,324077,436,43.2
7259,324077,437,43.1
7259,324077,438,43.1
7259,324077,439,43.1
7259,324077,440,43.1
7259,324077,441,43.0
7259,324077,442,43.0
7259,324077,443,43.0
7259,324077,444,42.9
7259,324077,445,42.9
7259,324077,446,42.9
7259,324077,447,42.9
7259,324077,448,42.8
7259,324077,449,42.8
7259,324077,450,42.8
7259,324077,451,42.8
7259,324077,452,42.8
7259,324077,453,42.7
7259,324077,454,42.7
7259,324077,455,42.7
7259,324077,456,42.7
7259,324077,457,42.6
7259,324077,458,42.6
7259,324077,459,42.6
7259,324077,460,42.5
7259,324077,461,42.7
7259,324077,462,42.6
7259,324077,463,42.6
7259,324077,464,42.6
7259,324077,465,42.6
7259,324077,466,42.5
7259,324077,467,42.5
7259,324077,468,42.5
7259,324077,469,42.4
7259,324077,470,42.4
7259,324077,471,42.4
7259,324077,472,42.4
7259,324077,473,42.4
7259,324077,474,42.3
7259,324077,475,42.3
7259,324077,476,42.3
7259,324077,477,42.2
7259,324077,478,42.2
7259,324077,479,42.2
7259,324077,480,42.2
7259,324077,481,42.1
7259,324077,482,42.1
7259,324077,483,42.1
7259,324077,484,42.0
7259,324077,485,42.0
7259,324077,486,42.0
7259,324077,487,42.0
7259,324077,488,41.9
7259,324077,489,41.9
7259,324077,490,41.9
7259,324077,491,41.9
7259,324077,492,41.8
7259,324077,493,41.8
7259,324077,494,41.8
7259,324077,495,41.8
7259,324077,496,41.8
7259,324077,497,41.8
7259,324077,498,41.7
7259,324077,499,41.7
7259,324077,500,41.6
7259,324077,501,41.6
7259,324077,502,41.6
7259,324077,503,41.7
7259,324077,504,41.7
7259,324077,505,41.6
7259,324077,506,41.6
7259,324077,507,41.6
7259,324077,508,41.6
7259,324077,509,41.5
7259,324077,510,41.5
7259,324077,511,41.4
7259,324077,512,41.3
7259,324077,513,41.3
7259,324077,514,41.3
7259,324077,515,41.3
7259,324077,516,41.3
7259,324077,517,41.3
7259,324077,518,41.2
7259,324077,519,41.2
7259,324077,520,41.2
7259,324077,521,41.2
7259,324077,522,41.1
7259,324077,523,41.1
7259,324077,524,41.1
7259,324077,525,41.0
7259,324077,526,41.0
7259,324077,527,41.0
7259,324077,528,40.9
7259,324077,529,40.9
7259,324077,530,40.9
7259,324077,531,40.9
7259,324077,532,40.9
7259,324077,533,40.9
7259,324077,534,40.9
7259,324077,535,40.8
7259,324077,536,40.8
7259,324077,537,40.8
7259,324077,538,40.8
7259,324077,539,40.7
7259,324077,540,40.7
7259,324077,541,40.7
7259,324077,542,40.7
7259,324077,543,40.6
7259,324077,544,40.6
7259,324077,545,40.6
7259,324077,546,40.7
7259,324077,547,40.6
7259,324077,548,40.6
7259,324077,549,40.6
7259,324077,550,40.6
7259,324077,551,40.6
7259,324077,552,40.5
7259,324077,553,40.5
7259,324077,554,40.5
7259,324077,555,40.4
7259,324077,556,40.4
7259,324077,557,40.4
7259,324077,558,40.4
7259,324077,559,40.3
7259,324077,560,40.3
7259,324077,561,40.3
7259,324077,562,40.3
7259,324077,563,40.2
7259,324077,564,40.2
7259,324077,565,40.2
7259,324077,566,40.2
7259,324077,567,40.2
7259,324077,568,40.1
7259,324077,569,40.1
7259,324077,570,40.1
7259,324077,571,40.1
7259,324077,572,40.0
7259,324077,573,40.0
7259,324077,574,40.0
7259,324077,575,39.9
7259,324077,576,39.9
7259,324077,577,39.9
7259,324077,578,39.9
7259,324077,579,39.9
7259,324077,580,39.9
7259,324077,581,39.8
7259,324077,582,39.8
7259,324077,583,39.8
7259,324077,584,39.8
7259,324077,585,39.8
7259,324077,586,39.7
7259,324077,587,39.7
7259,324077,588,39.7
7259,324077,589,39.7
7259,324077,590,39.6
7259,324077,591,39.6
7259,324077,592,39.6
7259,324077,593,39.6
7259,324077,594,39.5
7259,324077,595,39.7
7259,324077,596,39.6
7259,324077,597,39.6
7259,324077,598,39.6
7259,324077,599,39.5
7259,324077,600,39.5
7259,324077,601,39.5
7259,324077,602,39.4
7259,324077,603,39.4
7259,324077,604,39.4
7259,324077,605,39.4
7259,324077,606,39.4
7259,324077,607,39.4
7259,324077,608,39.4
7259,324077,609,39.3
7259,324077,610,39.3
7259,324077,611,39.3
7259,324077,612,39.2
7259,324077,613,39.2
7259,324077,614,39.2
7259,324077,615,39.1
7259,324077,616,39.1
7259,324077,617,39.1
7259,324077,618,39.1
7259,324077,619,39.1
7259,324077,620,38.9
7259,324077,621,39.0
7259,324077,622,39.0
7259,324077,623,39.0
7259,324077,624,39.0
7259,324077,625,38.9
7259,324077,626,38.9
7259,324077,627,38.9
7259,324077,628,38.9
7259,324077,629,38.9
7259,324077,630,38.8
7259,324077,631,38.8
7259,324077,632,38.8
7259,324077,633,38.7
7259,324077,634,38.7
7259,324077,635,38.7
7259,324077,636,38.7
7259,324077,637,38.7
7259,324077,638,38.6
7259,324077,639,38.6
7259,324077,640,38.8
7259,324077,641,38.7
7259,324077,642,38.7
7259,324077,643,38.6
7259,324077,644,38.6
7259,324077,645,38.6
7259,324077,646,38.6
7259,324077,647,38.5
7259,324077,648,38.5
7259,324077,649,38.5
7259,324077,650,38.4
7259,324077,651,38.4
7259,324077,652,38.4
7259,324077,653,38.4
7259,324077,654,38.3
7259,324077,655,38.4
7259,324077,656,38.3
7259,324077,657,38.3
7259,324077,658,38.3
7259,324077,659,38.3
7259,324077,660,38.2
7259,324077,661,38.2
7259,324077,662,38.2
7259,324077,663,38.2
7259,324077,664,38.2
7259,324077,665,38.1
7259,324077,666,38.1
7259,324077,667,38.1
7259,324077,668,38.1
7259,324077,669,38.1
7259,324077,670,38.0
7259,324077,671,38.0
7259,324077,672,38.0
7259,324077,673,38.0
7259,324077,674,37.9
7259,324077,675,37.9
7259,324077,676,37.9
7259,324077,677,37.9
7259,324077,678,37.9
7259,324077,679,37.9
7259,324077,680,37.8
7259,324077,681,37.8
7259,324077,682,37.8
7259,324077,683,37.7
7259,324077,684,37.7
7259,324077,685,37.7
7259,324077,686,37.6
7259,324077,687,37.6
7259,324077,688,37.6
7259,324077,689,37.7
7259,324077,690,37.7
7259,324077,691,37.6
7259,324077,692,37.6
7259,324077,693,37.6
